doc_id,source_number,work_type,date,location,line,category,equipment1,equipment2,equipment3,equipment_full,work_duration_minutes,downtime_minutes,symptom,root_cause,action_taken,prevention,text
doc_000010,Rpt-0010,重大故障,2024-09-21,第3工場,C1000 検査ラインE,機械,搬送設備,多関節ロボット,多関節ロボット #1,搬送設備 > 多関節ロボット > 多関節ロボット #1,114,157,ソレノイドバルブの振動値が管理基準(184mm/s)を超え、149mm/sを記録した。,インバータ設定パラメータの誤変更。,カップリングを交換し、モーターと負荷側の軸心を調整。,予備品の在庫発注点見直し。,"【現象】
ソレノイドバルブの振動値が管理基準(184mm/s)を超え、149mm/sを記録した。

【原因】
インバータ設定パラメータの誤変更。

【処置】
カップリングを交換し、モーターと負荷側の軸心を調整。

【備考】
予備品の在庫発注点見直し。"
doc_000011,Rpt-0011,修理票,2021-04-14,第2工場,B2000 組立ラインD,電気,センサー,流量計,流量計 #2,センサー > 流量計 > 流量計 #2,265,8,供給エア圧力が46MPaまで低下し、シリンダー動作が不安定になった。,インバータ設定パラメータの誤変更。,シールド線のアース処理をやり直し、フェライトコアを追加。,保全カレンダーへの登録。,"【現象】
供給エア圧力が46MPaまで低下し、シリンダー動作が不安定になった。

【原因】
インバータ設定パラメータの誤変更。

【処置】
シールド線のアース処理をやり直し、フェライトコアを追加。

【備考】
保全カレンダーへの登録。"
doc_000012,Rpt-0012,作業票,2024-01-12,第3工場,C1000 検査ラインE,電気,駆動制御,インバータ,インバータ #3,駆動制御 > インバータ > インバータ #3,138,0,供給エア圧力が94MPaまで低下し、シリンダー動作が不安定になった。,吸気フィルターが切粉と油分で完全に目詰まりしていた。,ラダープログラムを修正し、インターロック条件を見直した。,予備品の在庫発注点見直し。,"【現象】
供給エア圧力が94MPaまで低下し、シリンダー動作が不安定になった。

【原因】
吸気フィルターが切粉と油分で完全に目詰まりしていた。

【処置】
ラダープログラムを修正し、インターロック条件を見直した。

【備考】
予備品の在庫発注点見直し。"
doc_000013,Rpt-0013,修理票,2022-05-05,第1工場,A2000 生産ラインB,機械,ユーティリティ,冷却塔(クーリングタワー),冷却塔(クーリングタワー) #3,ユーティリティ > 冷却塔(クーリングタワー) > 冷却塔(クーリングタワー) #3,236,44,上位システムとの通信エラーが発生し、生産実績データが送信できない。,センサー位置が振動によりズレており、検出距離が限界を超えていた。,配管を分解清掃し、ディストリビューターを交換。給油動作を確認。,オペレーターへの清掃指導。,"【現象】
上位システムとの通信エラーが発生し、生産実績データが送信できない。

【原因】
センサー位置が振動によりズレており、検出距離が限界を超えていた。

【処置】
配管を分解清掃し、ディストリビューターを交換。給油動作を確認。

【備考】
オペレーターへの清掃指導。"
doc_000014,Rpt-0014,重大故障,2023-06-25,第2工場,B2000 組立ラインD,電気,制御盤,リモートI/O盤,リモートI/O盤 #2,制御盤 > リモートI/O盤 > リモートI/O盤 #2,31,87,稼働中にDC24V電源付近から「ガガガ」という異音が発生した。,カップリングの樹脂パーツが疲労破壊していた。,断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。,,"【現象】
稼働中にDC24V電源付近から「ガガガ」という異音が発生した。

【原因】
カップリングの樹脂パーツが疲労破壊していた。

【処置】
断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。

【備考】
特になし。"
doc_000015,Rpt-0015,修理票,2022-09-01,第2工場,B2000 組立ラインD,機械,組立設備,圧入機,圧入機 #2,組立設備 > 圧入機 > 圧入機 #2,223,32,安全扉を閉じたがインターロックが解除されず、起動できない。,PLCプログラムのタイマー設定ミスにより、待機時間が不足していた。,センサー取付ブラケットを増し締めし、検出位置を再調整。,定期点検項目への追加。,"【現象】
安全扉を閉じたがインターロックが解除されず、起動できない。

【原因】
PLCプログラムのタイマー設定ミスにより、待機時間が不足していた。

【処置】
センサー取付ブラケットを増し締めし、検出位置を再調整。

【備考】
定期点検項目への追加。"
doc_000016,Rpt-0016,重大故障,2024-12-22,第2工場,B2000 組立ラインD,機械,ユーティリティ,集塵機,集塵機 #3,ユーティリティ > 集塵機 > 集塵機 #3,169,264,上位システムとの通信エラーが発生し、生産実績データが送信できない。,可動部のケーブルベア内で油圧ポンプ用ケーブルが断線していた。,接点不良のリレーを新品に交換し、I/Oチェックを実施。,保全カレンダーへの登録。,"【現象】
上位システムとの通信エラーが発生し、生産実績データが送信できない。

【原因】
可動部のケーブルベア内で油圧ポンプ用ケーブルが断線していた。

【処置】
接点不良のリレーを新品に交換し、I/Oチェックを実施。

【備考】
保全カレンダーへの登録。"
doc_000017,Rpt-0017,連絡票,2021-02-26,第3工場,C1000 検査ラインE,機械,ユーティリティ,貫流ボイラー,貫流ボイラー #2,ユーティリティ > 貫流ボイラー > 貫流ボイラー #2,146,0,稼働中にタイミングベルト付近から「ガガガ」という異音が発生した。,吸気フィルターが切粉と油分で完全に目詰まりしていた。,断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。,オペレーターへの清掃指導。,"【現象】
稼働中にタイミングベルト付近から「ガガガ」という異音が発生した。

【原因】
吸気フィルターが切粉と油分で完全に目詰まりしていた。

【処置】
断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。

【備考】
オペレーターへの清掃指導。"
doc_000018,Rpt-0018,作業票,2021-05-29,第2工場,B1000 組立ラインC,機械,ユーティリティ,冷却塔(クーリングタワー),冷却塔(クーリングタワー) #1,ユーティリティ > 冷却塔(クーリングタワー) > 冷却塔(クーリングタワー) #1,150,0,ヒーター温度が設定値127℃まで上昇せず、96℃で頭打ちになる。,吸気フィルターが切粉と油分で完全に目詰まりしていた。,パラメータP-752を初期値に戻し、正常動作を確認。,保全カレンダーへの登録。,"【現象】
ヒーター温度が設定値127℃まで上昇せず、96℃で頭打ちになる。

【原因】
吸気フィルターが切粉と油分で完全に目詰まりしていた。

【処置】
パラメータP-752を初期値に戻し、正常動作を確認。

【備考】
保全カレンダーへの登録。"
doc_000019,Rpt-0019,修理票,2022-07-14,第3工場,C1000 検査ラインE,電気,駆動制御,ステッピングドライバ,ステッピングドライバ #2,駆動制御 > ステッピングドライバ > ステッピングドライバ #2,204,53,マグネットスイッチの継ぎ目から作動油が漏れ、床面に油溜まりができている。,吸気フィルターが切粉と油分で完全に目詰まりしていた。,センサー取付ブラケットを増し締めし、検出位置を再調整。,オペレーターへの清掃指導。,"【現象】
マグネットスイッチの継ぎ目から作動油が漏れ、床面に油溜まりができている。

【原因】
吸気フィルターが切粉と油分で完全に目詰まりしていた。

【処置】
センサー取付ブラケットを増し締めし、検出位置を再調整。

【備考】
オペレーターへの清掃指導。"
doc_000020,Rpt-0020,作業票,2024-05-09,第1工場,A2000 生産ラインB,電気,通信機器,PLC CPUユニット,PLC CPUユニット #4,通信機器 > PLC CPUユニット > PLC CPUユニット #4,160,0,タッチパネルの画面がフリーズし、操作を受け付けない。,Vベルトの張力が規定値163Nに対し119Nまで低下していた。,シールド線のアース処理をやり直し、フェライトコアを追加。,オペレーターへの清掃指導。,"【現象】
タッチパネルの画面がフリーズし、操作を受け付けない。

【原因】
Vベルトの張力が規定値163Nに対し119Nまで低下していた。

【処置】
シールド線のアース処理をやり直し、フェライトコアを追加。

【備考】
オペレーターへの清掃指導。"
doc_000021,Rpt-0021,修理票,2024-05-23,第1工場,A1000 生産ラインA,機械,搬送設備,ベルトコンベア,ベルトコンベア #4,搬送設備 > ベルトコンベア > ベルトコンベア #4,47,45,供給エア圧力が74MPaまで低下し、シリンダー動作が不安定になった。,アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。,カップリングを交換し、モーターと負荷側の軸心を調整。,,"【現象】
供給エア圧力が74MPaまで低下し、シリンダー動作が不安定になった。

【原因】
アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。

【処置】
カップリングを交換し、モーターと負荷側の軸心を調整。

【備考】
特になし。"
doc_000022,Rpt-0022,修理票,2023-10-02,第3工場,C1000 検査ラインE,機械,ユーティリティ,冷却塔(クーリングタワー),冷却塔(クーリングタワー) #1,ユーティリティ > 冷却塔(クーリングタワー) > 冷却塔(クーリングタワー) #1,174,42,上位システムとの通信エラーが発生し、生産実績データが送信できない。,Oリング（E3Z-T61）の経年劣化による硬化・亀裂。,Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。,保全カレンダーへの登録。,"【現象】
上位システムとの通信エラーが発生し、生産実績データが送信できない。

【原因】
Oリング（E3Z-T61）の経年劣化による硬化・亀裂。

【処置】
Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。

【備考】
保全カレンダーへの登録。"
doc_000023,Rpt-0023,作業票,2021-03-04,第2工場,B1000 組立ラインC,電気,駆動制御,ソフトスタータ,ソフトスタータ #1,駆動制御 > ソフトスタータ > ソフトスタータ #1,276,0,ヒーター温度が設定値14℃まで上昇せず、10℃で頭打ちになる。,センサー位置が振動によりズレており、検出距離が限界を超えていた。,配管を分解清掃し、ディストリビューターを交換。給油動作を確認。,オペレーターへの清掃指導。,"【現象】
ヒーター温度が設定値14℃まで上昇せず、10℃で頭打ちになる。

【原因】
センサー位置が振動によりズレており、検出距離が限界を超えていた。

【処置】
配管を分解清掃し、ディストリビューターを交換。給油動作を確認。

【備考】
オペレーターへの清掃指導。"
doc_000024,Rpt-0024,作業票,2021-04-15,第1工場,A1000 生産ラインA,電気,制御盤,操作盤,操作盤 #3,制御盤 > 操作盤 > 操作盤 #3,273,0,起動ボタンを押下したが、サーボモーターが応答せず、エラーコードE-757が表示された。,センサー位置が振動によりズレており、検出距離が限界を超えていた。,断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。,オペレーターへの清掃指導。,"【現象】
起動ボタンを押下したが、サーボモーターが応答せず、エラーコードE-757が表示された。

【原因】
センサー位置が振動によりズレており、検出距離が限界を超えていた。

【処置】
断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。

【備考】
オペレーターへの清掃指導。"
doc_000025,Rpt-0025,修理票,2024-08-01,第2工場,B1000 組立ラインC,機械,ユーティリティ,スクリューコンプレッサー,スクリューコンプレッサー #1,ユーティリティ > スクリューコンプレッサー > スクリューコンプレッサー #1,68,17,ヒーター温度が設定値171℃まで上昇せず、133℃で頭打ちになる。,自動給油装置の配管詰まりにより、減速機への給油が行われていなかった。,パラメータP-456を初期値に戻し、正常動作を確認。,オペレーターへの清掃指導。,"【現象】
ヒーター温度が設定値171℃まで上昇せず、133℃で頭打ちになる。

【原因】
自動給油装置の配管詰まりにより、減速機への給油が行われていなかった。

【処置】
パラメータP-456を初期値に戻し、正常動作を確認。

【備考】
オペレーターへの清掃指導。"
doc_000026,Rpt-0026,修理票,2022-01-18,第2工場,B1000 組立ラインC,電気,制御盤,動力盤,動力盤 #2,制御盤 > 動力盤 > 動力盤 #2,280,22,原点復帰動作を行ったが、DC24V電源軸が完了位置手前で停止する。,ヒューズ内部のベアリング（型式:MY2N-D2）が摩耗し、回転振れが生じていた。,光電管（6204ZZ）を予備品と交換し、芯出し調整を実施。,保全カレンダーへの登録。,"【現象】
原点復帰動作を行ったが、DC24V電源軸が完了位置手前で停止する。

【原因】
ヒューズ内部のベアリング（型式:MY2N-D2）が摩耗し、回転振れが生じていた。

【処置】
光電管（6204ZZ）を予備品と交換し、芯出し調整を実施。

【備考】
保全カレンダーへの登録。"
doc_000027,Rpt-0027,修理票,2022-05-09,第2工場,B2000 組立ラインD,電気,通信機器,無線LANアダプタ,無線LANアダプタ #2,通信機器 > 無線LANアダプタ > 無線LANアダプタ #2,203,16,タッチパネルの画面がフリーズし、操作を受け付けない。,自動給油装置の配管詰まりにより、サーボモーターへの給油が行われていなかった。,接点不良のリレーを新品に交換し、I/Oチェックを実施。,定期点検項目への追加。,"【現象】
タッチパネルの画面がフリーズし、操作を受け付けない。

【原因】
自動給油装置の配管詰まりにより、サーボモーターへの給油が行われていなかった。

【処置】
接点不良のリレーを新品に交換し、I/Oチェックを実施。

【備考】
定期点検項目への追加。"
doc_000028,Rpt-0028,作業票,2025-05-03,第2工場,B1000 組立ラインC,機械,組立設備,圧入機,圧入機 #1,組立設備 > 圧入機 > 圧入機 #1,98,0,チャック爪の振動値が管理基準(183mm/s)を超え、175mm/sを記録した。,アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。,パラメータP-633を初期値に戻し、正常動作を確認。,オペレーターへの清掃指導。,"【現象】
チャック爪の振動値が管理基準(183mm/s)を超え、175mm/sを記録した。

【原因】
アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。

【処置】
パラメータP-633を初期値に戻し、正常動作を確認。

【備考】
オペレーターへの清掃指導。"
doc_000029,Rpt-0029,重大故障,2021-02-21,第3工場,C1000 検査ラインE,電気,制御盤,リモートI/O盤,リモートI/O盤 #1,制御盤 > リモートI/O盤 > リモートI/O盤 #1,123,207,上位システムとの通信エラーが発生し、生産実績データが送信できない。,可動部のケーブルベア内でエンコーダ用ケーブルが断線していた。,カップリングを交換し、モーターと負荷側の軸心を調整。,オペレーターへの清掃指導。,"【現象】
上位システムとの通信エラーが発生し、生産実績データが送信できない。

【原因】
可動部のケーブルベア内でエンコーダ用ケーブルが断線していた。

【処置】
カップリングを交換し、モーターと負荷側の軸心を調整。

【備考】
オペレーターへの清掃指導。"
doc_000030,Rpt-0030,修理票,2022-02-20,第1工場,A2000 生産ラインB,電気,センサー,圧力トランスミッタ,圧力トランスミッタ #3,センサー > 圧力トランスミッタ > 圧力トランスミッタ #3,240,32,サーボモーターの過負荷アラーム(OL)が頻発し、装置がチョコ停する。,スライド摺動面に切粉が噛み込み、動作抵抗が増大していた。,Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。,定期点検項目への追加。,"【現象】
サーボモーターの過負荷アラーム(OL)が頻発し、装置がチョコ停する。

【原因】
スライド摺動面に切粉が噛み込み、動作抵抗が増大していた。

【処置】
Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。

【備考】
定期点検項目への追加。"
doc_000031,Rpt-0031,修理票,2023-09-02,第1工場,A1000 生産ラインA,機械,搬送設備,多関節ロボット,多関節ロボット #1,搬送設備 > 多関節ロボット > 多関節ロボット #1,174,49,供給エア圧力が53MPaまで低下し、シリンダー動作が不安定になった。,PLCプログラムのタイマー設定ミスにより、待機時間が不足していた。,パラメータP-348を初期値に戻し、正常動作を確認。,オペレーターへの清掃指導。,"【現象】
供給エア圧力が53MPaまで低下し、シリンダー動作が不安定になった。

【原因】
PLCプログラムのタイマー設定ミスにより、待機時間が不足していた。

【処置】
パラメータP-348を初期値に戻し、正常動作を確認。

【備考】
オペレーターへの清掃指導。"
doc_000032,Rpt-0032,作業票,2022-09-09,第3工場,C1000 検査ラインE,機械,ユーティリティ,貫流ボイラー,貫流ボイラー #3,ユーティリティ > 貫流ボイラー > 貫流ボイラー #3,100,0,リニアガイドのサーマルトリップが作動し、主電源が遮断された。,自動給油装置の配管詰まりにより、チャック爪への給油が行われていなかった。,Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。,,"【現象】
リニアガイドのサーマルトリップが作動し、主電源が遮断された。

【原因】
自動給油装置の配管詰まりにより、チャック爪への給油が行われていなかった。

【処置】
Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。

【備考】
特になし。"
doc_000033,Rpt-0033,作業票,2021-08-02,第2工場,B2000 組立ラインD,機械,ユーティリティ,スクリューコンプレッサー,スクリューコンプレッサー #2,ユーティリティ > スクリューコンプレッサー > スクリューコンプレッサー #2,252,0,主軸ベアリングのサーマルトリップが作動し、主電源が遮断された。,Vベルトの張力が規定値169Nに対し147Nまで低下していた。,減速機（6204ZZ）を予備品と交換し、芯出し調整を実施。,保全カレンダーへの登録。,"【現象】
主軸ベアリングのサーマルトリップが作動し、主電源が遮断された。

【原因】
Vベルトの張力が規定値169Nに対し147Nまで低下していた。

【処置】
減速機（6204ZZ）を予備品と交換し、芯出し調整を実施。

【備考】
保全カレンダーへの登録。"
doc_000034,Rpt-0034,作業票,2022-07-13,第3工場,C1000 検査ラインE,電気,制御盤,リモートI/O盤,リモートI/O盤 #4,制御盤 > リモートI/O盤 > リモートI/O盤 #4,119,0,タッチパネルの画面がフリーズし、操作を受け付けない。,電磁開閉器の接点が溶着しており、遮断不能となっていた。,Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。,保全カレンダーへの登録。,"【現象】
タッチパネルの画面がフリーズし、操作を受け付けない。

【原因】
電磁開閉器の接点が溶着しており、遮断不能となっていた。

【処置】
Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。

【備考】
保全カレンダーへの登録。"
doc_000035,Rpt-0035,修理票,2024-02-14,第1工場,A1000 生産ラインA,電気,センサー,流量計,流量計 #3,センサー > 流量計 > 流量計 #3,68,43,原点復帰動作を行ったが、エンコーダ軸が完了位置手前で停止する。,PLCプログラムのタイマー設定ミスにより、待機時間が不足していた。,ラダープログラムを修正し、インターロック条件を見直した。,保全カレンダーへの登録。,"【現象】
原点復帰動作を行ったが、エンコーダ軸が完了位置手前で停止する。

【原因】
PLCプログラムのタイマー設定ミスにより、待機時間が不足していた。

【処置】
ラダープログラムを修正し、インターロック条件を見直した。

【備考】
保全カレンダーへの登録。"
doc_000036,Rpt-0036,修理票,2021-01-16,第3工場,C1000 検査ラインE,電気,センサー,熱電対,熱電対 #1,センサー > 熱電対 > 熱電対 #1,170,3,マグネットスイッチのサーマルトリップが作動し、主電源が遮断された。,インバータ設定パラメータの誤変更。,リミットスイッチ（G3NA-210B）を予備品と交換し、芯出し調整を実施。,定期点検項目への追加。,"【現象】
マグネットスイッチのサーマルトリップが作動し、主電源が遮断された。

【原因】
インバータ設定パラメータの誤変更。

【処置】
リミットスイッチ（G3NA-210B）を予備品と交換し、芯出し調整を実施。

【備考】
定期点検項目への追加。"
doc_000037,Rpt-0037,修理票,2024-12-09,第2工場,B2000 組立ラインD,電気,センサー,圧力トランスミッタ,圧力トランスミッタ #2,センサー > 圧力トランスミッタ > 圧力トランスミッタ #2,160,17,シリンダーの動作速度が低下し、サイクルタイムが基準より66秒遅延している。,インバータ設定パラメータの誤変更。,配管を分解清掃し、ディストリビューターを交換。給油動作を確認。,予備品の在庫発注点見直し。,"【現象】
シリンダーの動作速度が低下し、サイクルタイムが基準より66秒遅延している。

【原因】
インバータ設定パラメータの誤変更。

【処置】
配管を分解清掃し、ディストリビューターを交換。給油動作を確認。

【備考】
予備品の在庫発注点見直し。"
doc_000038,Rpt-0038,作業票,2022-02-16,第1工場,A2000 生産ラインB,電気,センサー,光電センサー,光電センサー #3,センサー > 光電センサー > 光電センサー #3,125,0,ヒーター温度が設定値143℃まで上昇せず、107℃で頭打ちになる。,Oリング（E3Z-T61）の経年劣化による硬化・亀裂。,配管を分解清掃し、ディストリビューターを交換。給油動作を確認。,オペレーターへの清掃指導。,"【現象】
ヒーター温度が設定値143℃まで上昇せず、107℃で頭打ちになる。

【原因】
Oリング（E3Z-T61）の経年劣化による硬化・亀裂。

【処置】
配管を分解清掃し、ディストリビューターを交換。給油動作を確認。

【備考】
オペレーターへの清掃指導。"
doc_000039,Rpt-0039,修理票,2023-10-11,第1工場,A2000 生産ラインB,電気,通信機器,PLC CPUユニット,PLC CPUユニット #4,通信機器 > PLC CPUユニット > PLC CPUユニット #4,51,11,SSRの過負荷アラーム(OL)が頻発し、装置がチョコ停する。,アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。,フィルターを洗浄液で清掃し、エアブロー乾燥後に再装着。,,"【現象】
SSRの過負荷アラーム(OL)が頻発し、装置がチョコ停する。

【原因】
アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。

【処置】
フィルターを洗浄液で清掃し、エアブロー乾燥後に再装着。

【備考】
特になし。"
doc_000040,Rpt-0040,連絡票,2021-06-28,第2工場,B2000 組立ラインD,機械,搬送設備,ベルトコンベア,ベルトコンベア #3,搬送設備 > ベルトコンベア > ベルトコンベア #3,86,0,シリンダーの動作速度が低下し、サイクルタイムが基準より21秒遅延している。,カップリングの樹脂パーツが疲労破壊していた。,油圧ポンプ（CR-700）を予備品と交換し、芯出し調整を実施。,定期点検項目への追加。,"【現象】
シリンダーの動作速度が低下し、サイクルタイムが基準より21秒遅延している。

【原因】
カップリングの樹脂パーツが疲労破壊していた。

【処置】
油圧ポンプ（CR-700）を予備品と交換し、芯出し調整を実施。

【備考】
定期点検項目への追加。"
doc_000041,Rpt-0041,修理票,2021-11-16,第2工場,B1000 組立ラインC,電気,駆動制御,ソフトスタータ,ソフトスタータ #2,駆動制御 > ソフトスタータ > ソフトスタータ #2,143,5,ヒーター温度が設定値108℃まで上昇せず、81℃で頭打ちになる。,アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。,ラダープログラムを修正し、インターロック条件を見直した。,予備品の在庫発注点見直し。,"【現象】
ヒーター温度が設定値108℃まで上昇せず、81℃で頭打ちになる。

【原因】
アース不良によりノイズが信号線に重畳し、誤検知を引き起こした。

【処置】
ラダープログラムを修正し、インターロック条件を見直した。

【備考】
予備品の在庫発注点見直し。"
