doc_id,date,location,line,equipment1,equipment2,equipment3,category,work_type,symptom,action_taken,parts_replaced,operator
DIRTY_000012,2024/2/8,第1工場,A1000 生産ラインA,搬送設備,ベルトコンベヤ,ベルトコンベア #2,機械,修理票,ベルトの片寄り。張力差と判断,左右のテンションを均等化。ローラの水平度も調整,,S002
DIRTY_000013,2024/2/10,第3工場,C1000 検査ラインE,通信機器,HMI,タッチパネル(HMI) #1,電気,連絡票,HMI 画面タッチ無反応エリアあり。パネル故障の可能性,パネル交換。校正実施,タッチパネル,S005
DIRTY_000014,2024/2/12,第2工場,B2000 組立ラインD,駆動制御,サーボドライバ,サーボアンプ #1,電気,修理票,サーボアラーム A52 発生。エンコーダ通信異常,エンコーダケーブル交換。原点復帰動作確認,エンコーダケーブル,S001
DIRTY_000015,invalid_date,第1工場,A1000 生産ラインA,センサー,近接SW,近接スイッチ #1,電気,作業票,近接スイッチ反応せず。配線ゆるみ,端子増し締めで復旧,,S004
DIRTY_000016,2024/2/18,,,,,,,,,,S002
DIRTY_000017,2024/2/20,第3工場,C1000 検査ラインE,通信機器,CPU,PLC CPUユニット #2,電気,修理票,修理した,,,S001
DIRTY_000018,2024/2/22,第2工場,B1000 組立ラインC,ユーティリティ,クーリングタワー,冷却塔(クーリングタワー) #1,機械,作業票,CT のファンモータから焼損臭。軸受劣化,モータ交換。ベルトも新品化,ファンモータ,S003
DIRTY_000019,2024/2/25,Factory 1,Line A,Machine,Pump,Pump01,Mechanical,Repair,Abnormal noise from pump bearing,Replaced bearings and realigned shaft,Bearing 6204,S099
DIRTY_000020,2024/2/28,第1工場,A2000 生産ラインB,加工設備,MC,マシニングセンタ #1,機械,重大故障,切削中に ATC エラー。工具が外れない,ATC シリンダー圧確認。ドローバー交換で復旧,ドローバー,S004
DIRTY_000021,2024/3/1,第1工場,A1000 生産ラインA,組立設備,ナットランナー,ナットランナー #1,機械,修理票,締付トルクがばらつく。センサー校正ずれ,トルクセンサー校正実施。精度確認後復旧,,S002
DIRTY_000022,2024/3/3,第2工場,B1000 組立ラインC,搬送設備,RC,ローラーコンベア #1,機械,作業票,ローラ回転不良。潤滑不足と判断,グリスアップ。スムーズに回転復旧,,S001
DIRTY_000023,2024/3/5,第3工場,C1000 検査ラインE,センサー,熱電対,熱電対 #1,電気,修理票,温度指示が常温のまま。素子断線,熱電対交換。指示値正常化,K熱電対,S005
DIRTY_000024,あああ,あああ,あああ,あああ,あああ,あああ,あああ,あああ,あああ,あああ,あああ,S999
DIRTY_000025,2024/3/8,第1工場,A1000 生産ラインA,センサー,流量計,流量計 #1,電気,作業票,流量指示がゼロ。羽根車固着の可能性,分解清掃。スケール除去で復旧,,S003
DIRTY_000026,2024/3/10,第2工場,B2000 組立ラインD,組立設備,圧入機,圧入機 #1,機械,修理票,圧入ストローク不足。油圧圧力低下,油圧ポンプ点検。リリーフ弁調整で復旧,,S001
DIRTY_000027,2024/3/12,第1工場,A1000 生産ラインA,ユーティリティ,スクリューコンプレッサー,スクリューコンプレッサー #1,機械,作業票,吐出圧力低下。オイルエレメント目詰まり,オイルエレメント交換。エアフィルタも同時交換,オイルエレメント・エアフィルタ,S006
DIRTY_000028,2024/3/15,第3工場,C1000 検査ラインE,駆動制御,ステッピングドライバ,ステッピングドライバ #1,電気,修理票,ステッピング脱調。指令パルス乱れ,ノイズフィルタ追加。シールドケーブル化で改善,フェライトコア,S004
DIRTY_000029,2024/3/18,第2工場,B1000 組立ラインC,通信機器,無線LANアダプタ,無線LANアダプタ #1,電気,作業票,無線通信が不安定。電波干渉の可能性,チャネル変更・アンテナ位置調整で改善,,S002
DIRTY_000030,2024/3/20,第1工場,A1000 生産ラインA,加工設備,平面研削盤,平面研削盤 #1,機械,修理票,研削面の粗さ悪化。砥石バランス不良,砥石交換・バランス取り・ドレッシング,WA砥石,S003
DIRTY_000031,2024/3/22,第2工場,B2000 組立ラインD,制御盤,主制御盤,主制御盤 #1,電気,連絡票,キャビネットファン異音。軸受寿命,ファン予防交換。温度監視継続,キャビネットファン,S001
DIRTY_000032,2024/3/25,第1工場,A1000 生産ラインA,組立設備,自動塗布装置,自動塗布装置 #1,機械,修理票,塗布量不足。ノズル目詰まり,ノズル清掃・シンナー洗浄で復旧,,S005
DIRTY_000033,2024/3/28,第3工場,C1000 検査ラインE,搬送設備,多関節ロボット,多関節ロボット #1,電気,重大故障,J2軸のブレーキ効かず落下。ブレーキコイル断線,ブレーキコイル交換。動作確認・原点出し,ブレーキユニット,S004
DIRTY_000034,2024/3/30,第1工場,A1000 生産ラインA,ユーティリティ,集塵機,集塵機 #1,機械,作業票,吸引力低下。フィルタ目詰まり,フィルタパルスジェット清掃・一部交換,カートリッジフィルタ,S002
DIRTY_000035,2024/4/1,第2工場,B1000 組立ラインC,組立設備,ナットランナー,ナットランナー #2,機械,修理票,締付角度検出不良。エンコーダ劣化,エンコーダユニット交換。トルク校正実施,エンコーダ,S003
DIRTY_000036,2024/4/3,第1工場,A2000 生産ラインB,駆動制御,ソフトスタータ,ソフトスタータ #1,電気,作業票,起動時間が長くなった。サイリスタ劣化の兆候,サイリスタモジュール予防交換,サイリスタモジュール,S001
DIRTY_000037,2024/4/5,第3工場,C1000 検査ラインE,センサー,画像処理カメラ,画像処理カメラ #1,電気,修理票,画像認識率低下。レンズ曇りと照度低下,レンズ清掃・照明LED交換・白バランス再調整,LED照明ユニット,S005
DIRTY_000038,2024/4/8,第2工場,B2000 組立ラインD,加工設備,油圧プレス,油圧プレス機 #1,機械,修理票,プレス降下速度低下。油温上昇・粘度低下,作動油交換・オイルクーラー清掃,作動油ISO VG46,S004
DIRTY_000039,2024/4/10,第1工場,A1000 生産ラインA,通信機器,イーサネットユニット,イーサネットユニット #1,電気,作業票,イーサネット通信断発生。スイッチポート不良,ポート変更・ケーブル交換で復旧,,S002
DIRTY_000040,2024/4/12,第2工場,B1000 組立ラインC,搬送設備,オーバーヘッドホイスト,オーバーヘッドホイスト #1,機械,修理票,巻上げチェーン異音。潤滑不足と摩耗,チェーン給油・摩耗限界近接のため次回交換計画,,S003
DIRTY_000041,2024/4/15,第3工場,C1000 検査ラインE,制御盤,リモートI/O盤,リモートI/O盤 #1,電気,作業票,リモートI/O 通信エラー。端末抵抗不足,端末抵抗追加。通信安定化,,S001
DIRTY_000042,2024/4/18,第1工場,A1000 生産ラインA,組立設備,カシメ機,カシメ機 #2,機械,修理票,カシメ高さばらつき。ダイス摩耗,ダイス交換・初物検査で確認,カシメダイス,S005
DIRTY_000043,2024/4/20,第2工場,B2000 組立ラインD,駆動制御,サーボアンプ,サーボアンプ #2,電気,修理票,サーボアラーム A33 発生。過負荷保護作動,機械負荷確認・グリスアップ・パラメータ調整,,S002
DIRTY_000044,2024/4/22,第3工場,C1000 検査ラインE,ユーティリティ,冷却塔(クーリングタワー),冷却塔(クーリングタワー) #2,機械,作業票,冷却水温度上昇。散水ノズル目詰まり,散水ノズル清掃・スケール除去剤投入,,S004
DIRTY_000045,2024/4/25,第1工場,A1000 生産ラインA,センサー,圧トラ,圧力トランスミッタ #1,電気,修理票,圧力値がふらつく。配管振動による誤検知と推定,配管クランプ追加で振動抑制。ゼロ点再調整,,S001
DIRTY_000046,2024/4/28,第2工場,B1000 組立ラインC,加工設備,マシニングセンター,マシニングセンタ #2,機械,修理票,MC 切削中に主軸停止。冷却油温度異常,クーラント温度監視・オイルクーラ清掃で復旧,,S003
DIRTY_000047,2024/5/1,第1工場,A1000 生産ラインA,組立設備,自動塗布装置,自動塗布装置 #2,機械,作業票,塗布ムラ発生。粘度調整不足,シンナー追加で粘度調整・日次点検項目に追加,,S002
DIRTY_000048,2024/5/3,第3工場,C1000 検査ラインE,駆動制御,インバータ,インバータ #2,電気,修理票,INV 冷却ファン停止。軸受寿命,冷却ファン交換。フィルタ清掃,冷却ファンASSY,S001
DIRTY_000049,2024/5/5,第2工場,B2000 組立ラインD,搬送設備,無人搬送車(AGV),無人搬送車(AGV) #1,電気,重大故障,AGV 経路追従不能。磁気テープセンサー汚損,磁気センサー清掃・テープ一部貼替え,磁気テープ 5m,S005
DIRTY_000050,2024/5/8,第1工場,A2000 生産ラインB,ユーティリティ,ボイラー,貫流ボイラー #1,機械,修理票,蒸気圧低下。給水ポンプ流量不足,給水ポンプ分解整備・インペラ交換,ポンプインペラ,S004
DIRTY_000051,2024/5/10,第2工場,B1000 組立ラインC,組立設備,圧入機,圧入機 #2,機械,作業票,圧入不良発生頻発。ワーク位置ずれ,治具ガイド修正・センサー位置再調整,,S002
DIRTY_000052,2024/5/12,第3工場,C1000 検査ラインE,センサー,近接,近接スイッチ #2,電気,修理票,近接スイッチ出力チャタリング。振動影響,振動対策カバー追加・配線固定,,S003
DIRTY_000053,2024/5/15,第1工場,A1000 生産ラインA,制御盤,動力盤,動力盤 #1,電気,作業票,動力盤内温度上昇。冷却ファン風量低下,フィルタ清掃・ファン予防交換,,S001
DIRTY_000054,2024/5/18,第2工場,B2000 組立ラインD,通信機器,タッチパネル,タッチパネル(HMI) #2,電気,修理票,HMI 画面反応遅い。メモリ不足と判定,不要ファイル削除・ソフトウェア更新,,S005
DIRTY_000055,2024/5/20,第1工場,A1000 生産ラインA,加工設備,NC旋盤,NC旋盤 #2,機械,修理票,工具摩耗検出エラー。検出器故障,工具長検出器交換・マクロ変数再設定,工具長センサー,S002
DIRTY_000056,2024/5/22,第3工場,C1000 検査ラインE,駆動制御,ステッピングドライバ,ステッピングドライバ #2,電気,作業票,ステッピング動作が重い。ドライバ温度上昇,放熱フィン清掃・周辺温度監視強化,,S004
DIRTY_000057,2024/5/25,第2工場,B1000 組立ラインC,搬送設備,ベルトコンベア,ベルトコンベア #3,機械,修理票,ベルト摩耗進行。交換時期到来,ベルト予防交換・プーリ点検,搬送ベルト,S001
DIRTY_000058,2024/5/28,第1工場,A1000 生産ラインA,組立設備,カシメ機,カシメ機 #3,機械,作業票,ダイス位置ずれ。治具クランプ緩み,治具再固定・加工精度確認,,S003
DIRTY_000059,2024/6/1,第3工場,C1000 検査ラインE,センサー,画像処理カメラ,画像処理カメラ #2,電気,重大故障,画像処理カメラがリセット連続。電源ユニット故障,電源ユニット交換・バックアップ電源設置,24V DC電源,S005
DIRTY_000060,2024/6/3,第2工場,B2000 組立ラインD,ユーティリティ,集塵機,集塵機 #2,機械,修理票,集塵機の吸引圧低下。ダクト詰まり,ダクト清掃・フィルタ交換,プリーツフィルタ,S002
DIRTY_000061,2024/6/5,第1工場,A1000 生産ラインA,駆動制御,サーボアンプ,サーボアンプ #1,電気,修理票,サーボアラーム A52 発生。エンコーダ通信異常,エンコーダケーブル交換。原点復帰動作確認,エンコーダケーブル,S001
DIRTY_000062,2024/6/8,第2工場,B1000 組立ラインC,加工設備,平面研削盤,平面研削盤 #2,機械,作業票,研削面粗さ変動。クーラント濃度低下,クーラント濃度調整・濃度計校正,,S004
DIRTY_000063,2024/6/10,第3工場,C1000 検査ラインE,通信機器,PLC,PLC CPUユニット #3,電気,修理票,PLC ウォッチドッグタイマエラー。スキャン時間超過,プログラム最適化・不要ロジック削除,,S003
DIRTY_000064,2024/6/12,第1工場,A1000 生産ラインA,搬送設備,多関節ロボット,多関節ロボット #2,電気,重大故障,ロボット 原点ずれ発生。エンコーダバッテリ切れ,エンコーダバッテリ交換・原点復帰実施,バッテリ,S005
DIRTY_000065,2024/6/15,第2工場,B2000 組立ラインD,制御盤,操作盤,操作盤 #1,電気,作業票,操作盤ボタン反応悪い。接点酸化,接点洗浄剤・通電確認,,S002
DIRTY_000066,2024/6/18,第1工場,A2000 生産ラインB,組立設備,ナットランナー,ナットランナー #3,機械,修理票,ボルト座面傷発生。ソケット摩耗,ソケット予防交換・目視検査継続,トルクソケット,S001
DIRTY_000067,2024/6/20,第3工場,C1000 検査ラインE,ユーティリティ,スクリューコンプレッサー,スクリューコンプレッサー #2,機械,作業票,圧縮機のオイル漏れ微量。ガスケット劣化,メカニカルシール交換・オイル補充,メカニカルシール,S004
DIRTY_000068,2024/6/22,第2工場,B1000 組立ラインC,駆動制御,ソフトスタータ,ソフトスタータ #2,電気,修理票,ソフトスタータ 異常加熱。周辺温度上昇,盤内扇風機追加・周辺温度制御強化,,S003
DIRTY_000069,2024/6/25,第1工場,A1000 生産ラインA,センサー,PT,圧力トランスミッタ #2,電気,修理票,PT ドリフト発生。経年劣化と判断,PT 予防交換・校正実施,圧力トランスミッタ,S002
DIRTY_000070,2024/6/28,第3工場,C1000 検査ラインE,加工設備,油圧プレス機,油圧プレス機 #2,機械,作業票,プレス ストローク短縮。油量不足,作動油補充・漏れ箇所点検実施,,S005
DIRTY_000071,2024/7/1,第1工場,A1000 生産ラインA,ユーティリティ,貫流ボイラー,貫流ボイラー #2,機械,修理票,ボイラー安全弁作動。圧力異常上昇,圧力スイッチ交換・セッティング値確認,圧力スイッチ,S001
DIRTY_000072,2024/7/3,第2工場,B2000 組立ラインD,組立設備,自動塗布装置,自動塗布装置 #3,機械,作業票,塗布厚ばらつき。エア圧変動,レギュレータ交換・圧力安定化,エアレギュレータ,S003
DIRTY_000073,2024/7/5,第3工場,C1000 検査ラインE,搬送設備,無人搬送車(AGV),無人搬送車(AGV) #2,電気,修理票,AGV バッテリ容量低下。寿命到来,バッテリ予防交換・初期化実施,AGVバッテリ,S004
DIRTY_000074,2024/7/8,第1工場,A2000 生産ラインB,通信機器,無線LANアダプタ,無線LANアダプタ #2,電気,作業票,無線接続失敗頻発。ファームウェア古い,ファームウェア更新・再接続確認,,S002
DIRTY_000075,2024/7/10,第2工場,B1000 組立ラインC,センサー,熱電対,熱電対 #2,電気,修理票,温度表示上昇異常。熱電対劣化,熱電対交換・断熱材点検,K熱電対,S001
DIRTY_000076,2024/7/12,第1工場,A1000 生産ラインA,制御盤,リモートI/O盤,リモートI/O盤 #2,電気,修理票,リモートI/O 出力不良。リレー接点溶着,リレーユニット交換・定期交換リスト追加,出力リレー,S005
DIRTY_000077,2024/7/15,第3工場,C1000 検査ラインE,駆動制御,インバータ,インバータ #3,電気,作業票,インバータ表示部見にくい。LCD劣化,フェイスプレート清掃・LCDバックライト調整,,S003
DIRTY_000078,2024/7/18,第2工場,B2000 組立ラインD,加工設備,マシニングセンタ,マシニングセンタ #3,機械,重大故障,ATC マガジン停止。センサー故障,近接センサー交換・マガジン動作確認,近接スイッチ,S004
DIRTY_000079,2024/7/20,第1工場,A1000 生産ラインA,搬送設備,オーバーヘッドホイスト,オーバーヘッドホイスト #2,機械,修理票,巻上げ上限リミット効かず。LS故障,リミットスイッチ交換・動作確認,,S002
DIRTY_000080,2024/7/22,第2工場,B1000 組立ラインC,組立設備,圧入機,圧入機 #3,機械,作業票,ストローク中で停止。リミット信号ノイズ,シールドケーブル化・フィルタ追加,,S001
DIRTY_000081,2024/7/25,第3工場,C1000 検査ラインE,ユーティリティ,貫流ボイラー,貫流ボイラー #3,機械,修理票,給水ポンプ異音。軸受劣化,ポンプ予防交換・水質確認,給水ポンプ,S005
DIRTY_000082,2024/7/28,第1工場,A2000 生産ラインB,通信機器,HMI,タッチパネル(HMI) #3,電気,作業票,HMI タッチ感度低下。パネル汚れ,専用クリーナーで清掃・校正実施,,S003
DIRTY_000083,2024/8/1,第2工場,B2000 組立ラインD,駆動制御,サーボアンプ,サーボアンプ #3,電気,修理票,サーボアンプ発熱過多。ファン寿命,冷却ファン交換・定期保守に追加,冷却ファン,S002
DIRTY_000084,2024/8/3,第3工場,C1000 検査ラインE,センサー,光電,光電センサー #2,電気,作業票,光電出力不安定。外乱光影響,遮光板設置・受光感度調整,,S004
DIRTY_000085,2024/8/5,第1工場,A1000 生産ラインA,加工設備,ＮＣ旋盤,NC旋盤 #3,機械,修理票,主軸回転数異常。ベルト滑り,Vベルト交換・張力調整,Vベルト 2本,S001
DIRTY_000086,2024/8/8,第2工場,B1000 組立ラインC,制御盤,動力盤,動力盤 #2,電気,修理票,動力盤内結露発生。湿度管理不足,ヒーター追加・除湿機設置,盤内ヒーター,S005
DIRTY_000087,2024/8/10,第3工場,C1000 検査ラインE,組立設備,カシメ機,カシメ機 #4,機械,作業票,カシメ音異常。ラム摩耗,ラム交換・ストローク再調整,ラム,S003
DIRTY_000088,2024/8/12,第1工場,A1000 生産ラインA,搬送設備,ローラコン,ローラーコンベア #2,機械,修理票,ローラコン モータ異音。軸受グリス切れ,グリス補給・次回交換計画追加,,S002
DIRTY_000089,2024/8/15,第2工場,B2000 組立ラインD,通信機器,イーサネットユニット,イーサネットユニット #2,電気,作業票,イーサネット 通信遅延発生。スイッチ負荷高,スイッチ追加・通信負荷分散,イーサネットスイッチ,S001
DIRTY_000090,2024/8/18,第3工場,C1000 検査ラインE,駆動制御,ステッピングドライバ,ステッピングドライバ #3,電気,修理票,ステッピング トルク不足。ドライバ設定変更,電流設定値見直し・動作確認,,S004
DIRTY_000091,2024/8/20,第1工場,A2000 生産ラインB,センサー,流量計,流量計 #2,電気,作業票,流量計表示ゆらぎ。気泡混入,エア抜き実施・配管再施工,,S003
DIRTY_000092,2024/8/22,第2工場,B1000 組立ラインC,ユーティリティ,クーリングタワー,冷却塔(クーリングタワー) #3,機械,修理票,CT 充填材劣化。冷却効率低下,充填材交換・薬注装置動作確認,PVC充填材,S005
DIRTY_000093,2024/8/25,第3工場,C1000 検査ラインE,加工設備,油圧プレス,油圧プレス機 #3,機械,重大故障,油圧プレス シリンダー油漏れ。パッキン劣化,シリンダー分解・パッキン一式交換,Uパッキン,S002
DIRTY_000094,2024/8/28,第1工場,A1000 生産ラインA,組立設備,ナットランナー,ナットランナー #4,機械,修理票,トルクばらつき増加。エアレギュレータ精度低下,エアレギュレータ予防交換・校正実施,エアレギュレータ,S001
DIRTY_000095,2024/9/1,第2工場,B2000 組立ラインD,センサー,圧トラ,圧力トランスミッタ #3,電気,作業票,圧力値上昇傾向。配管内スケール付着推定,配管内部洗浄・薬品投入,,S004
DIRTY_000096,2024/9/3,第3工場,C1000 検査ラインE,搬送設備,ベルトコンベア,ベルトコンベア #4,機械,修理票,ベルト端部摩耗。サイドガイド不良,サイドガイド修正・摩耗ベルト交換,搬送ベルト,S003
DIRTY_000097,2024/9/5,第1工場,A1000 生産ラインA,通信機器,CPU,PLC CPUユニット #4,電気,修理票,PLC メモリ不足エラー。プログラム肥大化,不要サブルーチン削除・データレジスタ整理,,S002
DIRTY_000098,2024/9/8,第2工場,B1000 組立ラインC,ユーティリティ,集塵機,集塵機 #3,機械,作業票,集塵機 パルス作動不良。電磁弁固着,電磁弁交換・パルスタイミング調整,パルス電磁弁,S005
DIRTY_000099,2024/9/10,第3工場,C1000 検査ラインE,駆動制御,サーボドライバ,サーボアンプ #4,電気,修理票,サーボアラーム A71 発生。位置偏差過大,機械摺動部点検・パラメータ再調整,,S001
DIRTY_000100,2024/9/12,第1工場,A1000 生産ラインA,センサー,近接SW,近接スイッチ #3,電気,作業票,近接スイッチ感度不足。検出距離短い,取付位置調整・感度再設定,,S004
